id,datetime,latitude,longitude,depth_km,magnitude,location,month,year
27 January 2022 - 09:48 AM-8.9700-126.4900-2.6,27 January 2022 - 09:48 AM,8.97,126.49,15,2.6,022  km N 74° E of Cagwait (Surigao Del Sur),January,2022
27 January 2022 - 08:14 AM-14.9300-120.0200-2.5,27 January 2022 - 08:14 AM,14.93,120.02,26,2.5,007  km S 76° W of San Antonio (Zambales),January,2022
27 January 2022 - 06:18 AM-6.8400-125.2700-2.3,27 January 2022 - 06:18 AM,6.84,125.27,1,2.3,008  km N 49° E of Bansalan (Davao Del Sur),January,2022
27 January 2022 - 05:56 AM-6.8200-125.0600-2.4,27 January 2022 - 05:56 AM,6.82,125.06,15,2.4,020  km S 86° E of Tulunan (Cotabato),January,2022
27 January 2022 - 05:40 AM-15.4100-121.6800-1.7,27 January 2022 - 05:40 AM,15.41,121.68,27,1.7,031  km N 86° E of Dingalan (Aurora),January,2022
27 January 2022 - 05:26 AM-10.2200-124.9600-2.3,27 January 2022 - 05:26 AM,10.22,124.96,9,2.3,016  km N 52° E of City Of Maasin (Southern Leyte),January,2022
27 January 2022 - 03:27 AM-6.9300-127.0500-2.9,27 January 2022 - 03:27 AM,6.93,127.05,19,2.9,064  km S 61° E of Manay (Davao Oriental),January,2022
27 January 2022 - 03:13 AM-11.2100-124.6000-1.9,27 January 2022 - 03:13 AM,11.21,124.6,6,1.9,005  km N 50° E of Kananga (Leyte),January,2022
27 January 2022 - 02:11 AM-3.8700-126.4600-4.4,27 January 2022 - 02:11 AM,3.87,126.46,119,4.4,206  km S 34° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),January,2022
27 January 2022 - 12:11 AM-5.8400-124.7600-3.0,27 January 2022 - 12:11 AM,5.84,124.76,5,3.0,026  km S 83° W of Maasim (Sarangani),January,2022
26 January 2022 - 11:59 PM-5.1400-126.3400-4.4,26 January 2022 - 11:59 PM,5.14,126.34,23,4.4,103  km S 69° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),January,2022
26 January 2022 - 10:37 PM-16.8200-119.7300-2.6,26 January 2022 - 10:37 PM,16.82,119.73,13,2.6,051  km N 20° W of Bolinao (Pangasinan),January,2022
26 January 2022 - 10:28 PM-13.1400-119.5700-2.4,26 January 2022 - 10:28 PM,13.14,119.57,31,2.4,098  km S 49° W of Looc (Occidental Mindoro),January,2022
26 January 2022 - 08:43 PM-10.1800-123.2400-1.6,26 January 2022 - 08:43 PM,10.18,123.24,16,1.6,007  km N 26° W of City Of Guihulngan (Negros Oriental),January,2022
26 January 2022 - 08:36 PM-13.9500-120.4000-3.8,26 January 2022 - 08:36 PM,13.95,120.4,55,3.8,028  km N 63° W of Calatagan (Batangas),January,2022
26 January 2022 - 07:50 PM-13.2300-122.0700-2.3,26 January 2022 - 07:50 PM,13.23,122.07,9,2.3,010  km S 12° W of Torrijos (Marinduque),January,2022
26 January 2022 - 05:56 PM-3.1800-125.3600-2.8,26 January 2022 - 05:56 PM,3.18,125.36,9,2.8,242  km S 04° W of Balut Island (Municipality Of Sarangani) (Davao Occidental),January,2022
26 January 2022 - 05:52 PM-4.5900-128.2200-4.9,26 January 2022 - 05:52 PM,4.59,128.22,47,4.9,320  km S 63° E of Jose Abad Santos (Davao Occidental),January,2022
26 January 2022 - 01:36 PM-16.2800-120.0700-2.1,26 January 2022 - 01:36 PM,16.28,120.07,5,2.1,013  km S 88° E of Anda (Pangasinan),January,2022
26 January 2022 - 01:18 PM-7.8900-122.5600-1.8,26 January 2022 - 01:18 PM,7.89,122.56,33,1.8,002  km N 11° E of Titay (Zamboanga Sibugay),January,2022
26 January 2022 - 10:47 AM-8.7700-126.5400-2.2,26 January 2022 - 10:47 AM,8.77,126.54,33,2.2,027  km S 83° E of Marihatag (Surigao Del Sur),January,2022
26 January 2022 - 10:34 AM-11.3800-124.4400-2.2,26 January 2022 - 10:34 AM,11.38,124.44,7,2.2,011  km S 19° W of Biliran (Biliran),January,2022
26 January 2022 - 08:58 AM-9.8200-122.3100-2.5,26 January 2022 - 08:58 AM,9.82,122.31,8,2.5,015  km N 69° W of City Of Sipalay (Negros Occidental),January,2022
26 January 2022 - 08:05 AM-12.3700-120.3900-1.7,26 January 2022 - 08:05 AM,12.37,120.39,24,1.7,046  km N 26° E of Coron (Palawan),January,2022
26 January 2022 - 07:59 AM-4.9400-126.5300-4.5,26 January 2022 - 07:59 AM,4.94,126.53,62,4.5,131  km S 63° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),January,2022
26 January 2022 - 06:58 AM-13.6900-120.6700-2.0,26 January 2022 - 06:58 AM,13.69,120.67,97,2.0,016  km S 16° E of Calatagan (Batangas),January,2022
26 January 2022 - 06:09 AM-9.1900-126.7400-2.5,26 January 2022 - 06:09 AM,9.19,126.74,13,2.5,056  km N 64° E of Bayabas (Surigao Del Sur),January,2022
26 January 2022 - 04:19 AM-18.3400-121.0800-1.9,26 January 2022 - 04:19 AM,18.34,121.08,10,1.9,023  km S 56° E of Adams (Ilocos Norte),January,2022
26 January 2022 - 03:35 AM-9.7200-125.3600-2.9,26 January 2022 - 03:35 AM,9.72,125.36,1,2.9,009  km S 47° W of San Francisco (Surigao Del Norte),January,2022
26 January 2022 - 03:29 AM-11.9800-121.7900-1.9,26 January 2022 - 03:29 AM,11.98,121.79,23,1.9,015  km N 56° W of Malay (Aklan),January,2022
26 January 2022 - 03:16 AM-9.8200-125.4600-2.5,26 January 2022 - 03:16 AM,9.82,125.46,25,2.5,004  km N 48° W of City Of Surigao (Surigao Del Norte),January,2022
